rank,window_id,start_index,start_time,x,y,z,ftle_physical,ftle_mlp,error,abs_error
1,88,870,8.70000000,-8.392237296327e+00,-1.385923087446e+01,1.696668727682e+01,3.988488345735e+00,-5.367967562488e-01,-4.525285101984e+00,4.525285101984e+00
2,44,430,4.30000000,-8.280037740480e+00,-1.390825927219e+01,1.632022291341e+01,4.602375410339e+00,4.263727161451e-01,-4.176002694194e+00,4.176002694194e+00
3,62,610,6.10000000,-1.194021569296e+01,-1.039479113958e+01,3.310357897401e+01,-1.046306568660e+00,2.144058926497e+00,3.190365495157e+00,3.190365495157e+00
4,29,280,2.80000000,-1.090799992900e+01,-1.769613313815e+01,1.976598684697e+01,2.669268013428e+00,-3.912769130984e-01,-3.060544926526e+00,3.060544926526e+00
5,45,440,4.40000000,-1.406949011898e+01,-1.810982491460e+01,2.991100395141e+01,5.051823706149e+00,2.125149788615e+00,-2.926673917534e+00,2.926673917534e+00
6,30,290,2.90000000,-1.531201386383e+01,-1.454183633701e+01,3.704011410711e+01,4.902797664917e-01,3.280539134459e+00,2.790259367967e+00,2.790259367967e+00
7,7,60,0.60000000,1.317220681982e+01,1.489128832700e+01,3.128526362891e+01,7.928272275364e-01,3.546308223042e+00,2.753480995505e+00,2.753480995505e+00
8,28,270,2.70000000,-5.313842728781e+00,-9.338901901652e+00,1.284632145731e+01,2.623494029677e+00,-1.001023631543e-01,-2.723596392831e+00,2.723596392831e+00
9,82,810,8.10000000,-1.364221295285e+01,-1.371188070689e+01,3.377213195653e+01,1.431735717927e-01,2.792095771292e+00,2.648922199499e+00,2.648922199499e+00
10,1,0,0.00000000,1.142602500195e+01,7.364957255694e+00,3.483146702860e+01,5.246560914183e-01,3.007573935203e+00,2.482917843785e+00,2.482917843785e+00
11,91,900,9.00000000,-5.132768049852e+00,6.155518158386e-01,3.034887119450e+01,2.698021543621e+00,5.128523088526e+00,2.430501544905e+00,2.430501544905e+00
12,5,40,0.40000000,5.377733776351e+00,8.151092426231e+00,1.728132762733e+01,1.384952770172e+00,3.699491076055e+00,2.314538305883e+00,2.314538305883e+00
13,47,460,4.60000000,-4.972246990349e+00,1.036651393769e+00,3.049112972559e+01,4.475553964467e+00,2.172952028981e+00,-2.302601935486e+00,2.302601935486e+00
14,90,890,8.90000000,-1.222843918266e+01,-5.588987980295e+00,3.790902014440e+01,2.701853426954e+00,4.902801977078e+00,2.200948550123e+00,2.200948550123e+00
15,37,360,3.60000000,1.079661656900e+01,1.800980145104e+01,1.864026514038e+01,7.347873625138e-01,-1.379766800907e+00,-2.114554163420e+00,2.114554163420e+00
